trials,task,level,n,rt,acc,id
10,MS,medium,5,NA,1,PsevAJnzJ0
10,MS,hard,5,NA,0.7142857142857143,PsevAJnzJ0
11,MS,easy,3,NA,1,PsevAJnzJ0
11,MS,medium,5,NA,1,PsevAJnzJ0
11,MS,hard,4,NA,0.5714285714285714,PsevAJnzJ0
12,MS,easy,3,NA,1,PsevAJnzJ0
12,MS,medium,4,NA,0.8,PsevAJnzJ0
12,MS,hard,3,NA,0.42857142857142855,PsevAJnzJ0
13,MS,easy,3,NA,1,PsevAJnzJ0
13,MS,medium,4,NA,0.8,PsevAJnzJ0
13,MS,hard,4,NA,0.5714285714285714,PsevAJnzJ0
14,MS,easy,3,NA,1,PsevAJnzJ0
14,MS,medium,5,NA,1,PsevAJnzJ0
14,MS,hard,4,NA,0.5714285714285714,PsevAJnzJ0
15,MS,easy,3,NA,1,PsevAJnzJ0
15,MS,medium,5,NA,1,PsevAJnzJ0
15,MS,hard,5,NA,0.7142857142857143,PsevAJnzJ0
16,MS,easy,3,NA,1,PsevAJnzJ0
16,MS,medium,4,NA,0.8,PsevAJnzJ0
16,MS,hard,6,NA,0.8571428571428571,PsevAJnzJ0
1,MS,easy,2,NA,0.6666666666666666,Piksbkqbn1
1,MS,medium,5,NA,1,Piksbkqbn1
1,MS,hard,4,NA,0.5714285714285714,Piksbkqbn1
2,MS,easy,3,NA,1,Piksbkqbn1
2,MS,medium,3,NA,0.6,Piksbkqbn1
2,MS,hard,4,NA,0.5714285714285714,Piksbkqbn1
3,MS,easy,3,NA,1,Piksbkqbn1
3,MS,medium,4,NA,0.8,Piksbkqbn1
3,MS,hard,3,NA,0.42857142857142855,Piksbkqbn1
4,MS,easy,3,NA,1,Piksbkqbn1
4,MS,medium,3,NA,0.6,Piksbkqbn1
4,MS,hard,5,NA,0.7142857142857143,Piksbkqbn1
5,MS,easy,3,NA,1,Piksbkqbn1
5,MS,medium,5,NA,1,Piksbkqbn1
5,MS,hard,2,NA,0.2857142857142857,Piksbkqbn1
6,MS,easy,3,NA,1,Piksbkqbn1
6,MS,medium,5,NA,1,Piksbkqbn1
6,MS,hard,5,NA,0.7142857142857143,Piksbkqbn1
7,MS,easy,3,NA,1,Piksbkqbn1
7,MS,medium,4,NA,0.8,Piksbkqbn1
7,MS,hard,3,NA,0.42857142857142855,Piksbkqbn1
8,MS,easy,3,NA,1,Piksbkqbn1
8,MS,medium,5,NA,1,Piksbkqbn1
8,MS,hard,3,NA,0.42857142857142855,Piksbkqbn1
9,MS,easy,3,NA,1,Piksbkqbn1
9,MS,medium,4,NA,0.8,Piksbkqbn1
9,MS,hard,4,NA,0.5714285714285714,Piksbkqbn1
10,MS,easy,2,NA,0.6666666666666666,Piksbkqbn1
10,MS,medium,4,NA,0.8,Piksbkqbn1
10,MS,hard,2,NA,0.2857142857142857,Piksbkqbn1
11,MS,easy,3,NA,1,Piksbkqbn1
11,MS,medium,5,NA,1,Piksbkqbn1
11,MS,hard,5,NA,0.7142857142857143,Piksbkqbn1
12,MS,easy,3,NA,1,Piksbkqbn1
12,MS,medium,1,NA,0.2,Piksbkqbn1
12,MS,hard,5,NA,0.7142857142857143,Piksbkqbn1
13,MS,easy,3,NA,1,Piksbkqbn1
13,MS,medium,3,NA,0.6,Piksbkqbn1
13,MS,hard,3,NA,0.42857142857142855,Piksbkqbn1
14,MS,easy,3,NA,1,Piksbkqbn1
14,MS,medium,2,NA,0.4,Piksbkqbn1
14,MS,hard,4,NA,0.5714285714285714,Piksbkqbn1
15,MS,easy,3,NA,1,Piksbkqbn1
15,MS,medium,3,NA,0.6,Piksbkqbn1
15,MS,hard,3,NA,0.42857142857142855,Piksbkqbn1
16,MS,easy,3,NA,1,Piksbkqbn1
16,MS,medium,4,NA,0.8,Piksbkqbn1
16,MS,hard,4,NA,0.5714285714285714,Piksbkqbn1
1,MS,easy,3,NA,1,dWejUN00z6
1,MS,medium,5,NA,1,dWejUN00z6
1,MS,hard,4,NA,0.5714285714285714,dWejUN00z6
2,MS,easy,3,NA,1,dWejUN00z6
2,MS,medium,4,NA,0.8,dWejUN00z6
2,MS,hard,5,NA,0.7142857142857143,dWejUN00z6
3,MS,easy,3,NA,1,dWejUN00z6
3,MS,medium,5,NA,1,dWejUN00z6
